Article_ID,Title,Journal,Country,Year,Dataset_ID,Dataset_Description,Validation_Type,Test_Set_Size,AI_Methods
Alsubai_2023,Privacy Preserved Cervical Cancer Detection Using Convolutional Neural Networks Applied to Pap Smear Images,Computational and Mathematical Methods in Medicine,"Saudi Arabia, Pakistan, Slovakia",2023,SIPaKMeD,Public ,"Split
",609,"CNN (Custom Architecture), Data Augmentation"
Wang_2024,Artificial intelligence enables precision diagnosis of cervical cytology grades and cervical cancer,Nature Communications,China,2024,SYSMH_Prospective,Proprietary,Prospective,2780,"RetinaNet (cell detection), Random Forest (WSI classification), EfficientNet (quality control), AI-assisted annotation"
Zhao_2016,Cervical Cytology Screening Facilitated by an Artificial Intelligence Microscope: A Preliminary Study,Cancer Cytopathology,China,2021,Shenzhen_ReaderStudy,Proprietary,Retrospective ,491,"SVM, Block Image Processing, Texture Features (LBP, GLCM), Color Histogram Features"
Tang_2021,Cervical Cytology Screening Facilitated by an Artificial Intelligence Microscope: A Preliminary Study,Cancer Cytopathology,China,2021,Shenzhen_ReaderStudy,Proprietary,Prospective,486,RetinaNet (cell detection)
Kanavati_2022,A Deep Learning Model for Cervical Cancer Screening on Liquid-Based Cytology Specimens in Whole Slide Images,Cancers,Japan,2022,SKGH_ClinicalBalRev,Proprietary,Retrospective ,643,EfficientNetB0 (CNN) + RNN (GRU)
Cheng_2021,Robust whole slide image analysis for cervical cancer screening using deep learning,Nature Communications,China,2021,MultiCenter_TestSet_EF,Proprietary,Retrospective ,1170,"ResNet50, RNN, Progressive Recognition (LR + HR), Data Augmentation, Hard Sample Mining"
Zhu_2021,Hybrid AI-assistive diagnostic model permits rapid TBS classification of cervical liquid-based thin-layer cell smears,Nature Communications,China,2021,MultiCenter_Prospective,Proprietary,Prospective,34403,"YOLOv3, Xception, U-Net, XGBoost, Logical Decision Trees, Patch Model, DPIQC (Quality Control)"
Holmstrom_2021,Point-of-Care Digital Cytology With Artificial Intelligence for Cervical Cancer Screening in a Resource-Limited Setting,JAMA Network Open,Kenya,2021,Kinondo_WSI_Pap,Proprietary,Prospective,361,"Deep Learning System (DLS) based on CNN, cloud-based image processing"
Deo_2023,CerviFormer: A Pap-smear based cervical cancer classification method using cross attention and latent transformer,Journal of Biophotonics,India,2023,Herlev,Public ,Hold-out ,92,"Transformer (CerviFormer), Cross-Attention, Latent Transformer, LAMB Optimizer"
Göker_2024,Detection Of Cervical Cancer From Uterine Cervix Images Using Transfer Learning Architectures,Eski̇şehi̇r Techni̇cal Uni̇versi̇ty Journal Of Sci̇ence And Technology A- Appli̇ed Sci̇ences And Engi̇neeri̇ng,Türkiye,2024,Herlev,Public ,Crossval,917,"Transfer Learning (VGG19, ResNet50, Xception, DenseNet201, MobileNetV2, AlexNet); Deep Convolutional Neural Networks (CNNs)
"
Bhatt_2021,Cervical cancer detection in pap smear whole slide images using convNet with transfer learning and progressive resizing,PeerJ Computer Science,India,2021,SIPaKMeD ,Public ,Crossval,4049,"CNN (VGG-19, ResNet, EfficientNet), Transfer Learning, Progressive Resizing, GradCAM"
Jiang_2025,Generalizable Cervical Cancer Screening via Large-scale Pretraining and Test-Time Adaptation,Nature Communications,China,2024,CCS-127K,Proprietary,Mixed,9145,"Transformer (DINOv2, ViT-Large/Giant), Self-Supervised Learning (SSL), Test-Time Adaptation (TTA), Multi-Instance Learning (MIL), DDETR (Deformable DETR), Transfer Learning"
Wong_2023,Deep Learning and Transfer Learning Methods to Effectively Diagnose Cervical Cancer from Liquid-Based Cytology Pap Smear Images,International Journal of Online and Biomedical Engineering (iJOE),Peru,2023,Mendeley_LBC_TestSet,Public ,Retrospective ,240,"ResNet50V2, ResNet101V2, Transfer Learning, Data Augmentation (Keras)"
Fang_2024,Deep integrated fusion of local and global features for cervical cell classification,Computers in Biology and Medicine,China,2024,SIPaKMeD,Public ,Crossval,4049,A Hybrid CNN-Transformer with Deep Integrated Feature Fusion (DIFF) Blocks
Alzahrani_2024,Ensemble and Transformer Encoder-based Models for the Cervical Cancer Classification Using Pap-smear Images,Journal of Electrical Systems,Saudi Arabia,2024,SIPaKMeD,Public ,Hold-out,609,"Ensemble Learning, ViT Encoder, TL (VGG16, ResNet50, etc.)"
Wang_2020,Adaptive Pruning of Transfer Learned Deep Convolutional Neural Network for Classification of Cervical Pap Smear Images,IEEE Access,China,2020,Proprietary_CQU,Proprietary,Retrospective ,143,"Custom CNN (PsiNet), TL, Adaptive Pruning"
