Article_ID,N_Total,TP,FP,FN,TN
Alsubai_2023,609,338,21,33,217
Wang_2024,2780,105,294,6,2375
Zhao_2016,491,38,3,2,448
Tang_2021,486,178,30,9,269
Kanavati_2022,643,234,29,45,335
Cheng_2021,1170,486,43,25,616
Zhu_2021,34403,3165,5533,275,25430
Holmstrom_2021,361,45,48,2,266
Deo_2023,92,66,2,3,21
Göker_2024,917,666,7,9,235
Bhatt_2021,4049,997,3,3,3046
Jiang_2025,9145,1857,488,320,6480
Wong_2023,240,172,2,2,64
Fang_2024,4049,2316,94,115,1524
Alzahrani_2024,609,371,3,0,235
Wang_2020,143,20,2,1,120
